task_id,agent_nickname,agent_path,git_branch,git_sha,preservation_basis,disposition
019fbd16-4bfd-7470-b67d-5fa1c14e32b4,Aquinas,/root/architecture_review,main,3b253f5e0f41583e4d05dd35b11eb91bf2247bcc,repository_commit,retire_after_primary_handoff
019fbd2e-8828-7790-a7d1-64bd6c1848a1,Curie,/root/production_hardening,main,3b253f5e0f41583e4d05dd35b11eb91bf2247bcc,repository_commit,retire_after_primary_handoff
019fbd53-180f-7bc2-a952-fd987a738fd2,Arendt,/root/embedded_map_unification,main,3b253f5e0f41583e4d05dd35b11eb91bf2247bcc,repository_commit,retire_after_primary_handoff
019fbfa6-4346-7171-b78f-bd7a52d7ac04,Nash,/root/p1_ui_fixes,codex/courtos-runtime-baseline,324aa780ecfee105b5330c03b7ff6e8b166259ca,repository_commit,retire_after_primary_handoff
019fbfb4-c2e8-77c0-ba51-528f3d9724bd,Goodall,/root/hardening_review,codex/courtos-runtime-baseline,aa97f2954a1e12e955be3c70cff8afc83cc11a63,repository_commit,retire_after_primary_handoff
019fbfec-9a55-7b91-a1ff-a726bef878b0,Kant,/root/truth_authority_review,codex/courtos-runtime-baseline,828e0b0a58d2b9c76520a736277ee9a1fd0271e2,repository_commit,retire_after_primary_handoff
019fbfec-c936-79d2-82dd-c882214aa59a,Aristotle,/root/mobile_council_diagnosis,codex/courtos-runtime-baseline,828e0b0a58d2b9c76520a736277ee9a1fd0271e2,repository_commit,retire_after_primary_handoff
019fc001-fba8-7030-a597-361de25b7597,Hilbert,/root/postfix_review,codex/courtos-runtime-baseline,decb48d7408c3676b75481e0125437dabd896d6f,repository_commit,retire_after_primary_handoff
019fc013-2428-7ba0-b244-c2d7f8b8f432,Averroes,/root/spatial_contract_audit,codex/courtos-runtime-baseline,296f782d8b322e24ad383706ab1a24a8d5c2c745,repository_commit,retire_after_primary_handoff
019fc05d-8cdc-7573-be22-3e24e11b7617,Feynman,/root/ac56_architecture_gate,codex/courtos-runtime-baseline,41e11ef13509ab0dd016db790143202edfb9bd25,repository_commit,retire_after_primary_handoff
019fc05d-ab17-7190-8f00-e314a589d61c,Zeno,/root/pearwick_authority_uat,codex/courtos-runtime-baseline,41e11ef13509ab0dd016db790143202edfb9bd25,repository_commit,retire_after_primary_handoff
019fc05d-e665-7eb1-9ac9-ffdd10be2500,Franklin,/root/pearwick_interaction_uat,codex/courtos-runtime-baseline,41e11ef13509ab0dd016db790143202edfb9bd25,repository_commit,retire_after_primary_handoff
019fc1fb-15a3-7e62-a7dc-297728be71d8,Hegel,/root/mapgen_rnd_report,codex/courtos-runtime-baseline,41e11ef13509ab0dd016db790143202edfb9bd25,repository_commit,retire_after_primary_handoff
